fdc_id,description,calories,protein_g,fat_g,carbs_g
2707023,salmon cake sandwich,279.0,13.86,15.93,19.37
2708963,"sushi roll, salmon",103.0,6.88,1.28,15.3
2708969,"sushi, topped with salmon",107.0,8.92,1.74,13.39
2706552,"fish, salmon cake or patty",285.0,16.07,22.1,4.46
2706286,"fish, salmon, baked or broiled",274.0,25.4,18.4,0.01
173688,"fish, salmon, chinook, raw",750.0,19.9,10.4,0.0
2020713,oats,375.0,12.5,6.25,67.5
2014676,oats,375.0,12.5,6.25,67.5
2705412,oat milk,45.0,0.66,2.33,5.37
2708489,"oats, raw",379.0,13.15,6.52,67.7
173576,"oil, oat",3700.0,0.0,100.0,0.0
2708462,"cereal, oat bunches",392.0,7.43,6.06,76.25
2707772,"bagel, oat bran",250.0,10.2,1.53,48.89
172666,"bagels, oat bran",255.0,10.7,1.2,53.3
2707770,"bread, oat bran",299.0,9.33,4.89,53.89
172676,"bread, oat bran",236.0,10.4,4.4,39.8
2708466,"cereal, oat squares",379.0,10.4,5.22,73.27
2707840,"muffin, oat bran",270.0,7.0,7.4,48.3
172769,"muffins, oat bran",270.0,7.0,7.4,48.3
168873,"oat bran, cooked",40.0,3.21,0.86,11.4
168872,"oat bran, raw",246.0,17.3,7.03,66.2
2705441,"yogurt, greek, with oats",149.0,9.22,3.67,20.02
174626,"cereals, quaker, oat bran, quaker/mother's oat bran, dry",1520.0,17.0,7.97,62.9
2707771,"bread, oat bran, toasted",296.0,9.23,4.84,53.3
172677,"bread, oat bran, toasted",259.0,11.4,4.8,43.7
2708467,"cereal, frosted oats with marshmallows",372.0,8.17,4.07,76.61
2058078,bread,146.0,3.57,0.0,32.1
1916888,bread,263.0,7.89,0.0,55.3
2339103,bread,196.0,8.7,2.17,43.5
2071481,bread,357.0,10.7,5.36,66.1
2431121,bread,306.0,5.88,7.06,51.8
2011754,bread,222.0,5.56,4.17,44.4
2071305,bread,263.0,8.77,0.88,56.1
1850717,bread,240.0,8.0,1.0,50.0
2072082,bread,269.0,7.69,3.85,50.0
2157209,bread,8600.0,270.0,150.0,1700.0
2071165,bread,306.0,10.2,8.16,49.0
1941823,bread,250.0,7.14,0.0,50.0
1153769,bread,250.0,10.4,0.0,52.1
2480938,bread,255.0,7.27,4.55,47.3
2436286,bread,222.0,11.1,3.33,44.4
2014227,bread,248.0,10.0,1.0,54.0
2707850,"bread, fruit",374.0,6.01,18.1,47.34
2707613,"bread, naan",311.0,11.09,7.28,50.23
2707851,"bread, zucchini",306.0,5.05,13.14,42.64
2707714,"bread, puri",409.0,6.84,24.94,39.23
2709510,potato patty,171.0,3.89,11.32,13.49
2709556,"soup, potato",90.0,1.51,4.71,10.53
2709552,potato pancake,196.0,4.47,10.8,20.64
2709554,stewed potatoes,103.0,1.99,3.39,16.26
2709382,"potato, nfs",126.0,1.87,4.25,20.45
167943,"bread, potato",266.0,12.5,3.13,47.1
2707642,"bread, potato",266.0,12.5,3.13,47.07
2708722,"gnocchi, potato",135.0,2.44,6.33,17.2
168446,potato flour,1490.0,6.9,0.34,83.1
170092,potato pancakes,1120.0,6.08,14.8,27.8
2709557,"soup, potato with meat",109.0,3.78,6.43,8.81
2709511,"potato tots, nfs",237.0,1.9,15.46,24.4
2709513,"potato tots, school",166.0,2.02,9.16,19.34
2709715,sweet potato tots,191.0,2.26,9.35,37.3
2709385,"potato, boiled, nfs",126.0,1.87,4.25,20.45
2709421,"potato chips, nfs",532.0,6.39,33.98,53.83
2709422,"potato chips, plain",532.0,6.39,33.98,53.83
2709438,"potato chips, unsalted",537.0,6.25,30.3,59.66
2709445,"potato sticks, flavored",517.0,6.63,34.06,52.77
